Season,Name,Team,,WAR,DOL,NameASCII,PlayerId,MLBAMID
2021,Kyle Tucker,HOU,,4.989539461,39.91631569,Kyle Tucker,18345,663656
2017,Lorenzo Cain,KCR,,4.988273946,39.90619157,Lorenzo Cain,9077,456715
2023,Yandy Díaz,TBR,,4.986917587,39.89534069,Yandy Diaz,16578,650490
2023,Kyle Tucker,HOU,,4.983220743,39.86576594,Kyle Tucker,18345,663656
2018,Whit Merrifield,KCR,,4.981099752,39.84879801,Whit Merrifield,11281,593160
2016,Joey Votto,CIN,,4.971787371,39.77429897,Joey Votto,4314,458015
2019,Jose Altuve,HOU,,4.967386755,39.73909404,Jose Altuve,5417,514888
2021,Matt Olson,OAK,,4.953692449,39.62953959,Matt Olson,14344,621566
2017,Buster Posey,SFG,,4.944433095,39.55546476,Buster Posey,9166,457763
2023,Luis Robert Jr.,CHW,,4.923459961,39.38767969,Luis Robert Jr.,20043,673357
2022,Kyle Tucker,HOU,,4.915056535,39.32045228,Kyle Tucker,18345,663656
2023,Dansby Swanson,CHC,,4.903249577,39.22599661,Dansby Swanson,18314,621020
2017,Travis Shaw,MIL,,4.900377183,39.20301746,Travis Shaw,11982,543768
2023,J.P. Crawford,SEA,,4.885311444,39.08249155,J.P. Crawford,15491,641487
2021,Bo Bichette,TOR,,4.869848898,38.95879118,Bo Bichette,19612,666182
2016,Anthony Rizzo,CHC,,4.847237193,38.77789754,Anthony Rizzo,3473,519203
2019,Ronald Acuña Jr.,ATL,,4.845492029,38.76393623,Ronald Acuna Jr.,18401,660670
2021,Paul Goldschmidt,STL,,4.82688037,38.61504296,Paul Goldschmidt,9218,502671
2022,Bo Bichette,TOR,,4.817692952,38.54154362,Bo Bichette,19612,666182
2015,Dee Strange-Gordon,MIA,,4.801095034,38.40876027,Dee Strange-Gordon,8203,543829
2017,Mookie Betts,BOS,,4.775445986,38.20356788,Mookie Betts,13611,605141
2015,Mookie Betts,BOS,,4.774566291,38.19653033,Mookie Betts,13611,605141
2024,Willy Adames,MIL,,4.762034045,38.09627236,Willy Adames,15986,642715
2017,Andrelton Simmons,LAA,,4.759428137,38.07542509,Andrelton Simmons,10847,592743
2021,Freddie Freeman,ATL,,4.748221369,37.98577095,Freddie Freeman,5361,518692
2023,Gunnar Henderson,BAL,,4.747376973,37.97901578,Gunnar Henderson,26289,683002
2019,Carlos Santana,CLE,,4.739628026,37.91702421,Carlos Santana,2396,467793
2019,Jeff McNeil,NYM,,4.733074453,37.86459562,Jeff McNeil,15362,643446
2018,Trevor Story,COL,,4.711340713,37.6907257,Trevor Story,12564,596115
2019,Pete Alonso,NYM,,4.709653293,37.67722634,Pete Alonso,19251,624413
2022,Steven Kwan,CLE,,4.707530225,37.6602418,Steven Kwan,24610,680757
2017,Alex Bregman,HOU,,4.685935938,37.48748751,Alex Bregman,17678,608324
2024,Marcell Ozuna,ATL,,4.673465847,37.38772677,Marcell Ozuna,10324,542303
2016,Daniel Murphy,WSN,,4.671111532,37.36889225,Daniel Murphy,4316,502517
2018,J.T. Realmuto,MIA,,4.659729843,37.27783875,J.T. Realmuto,11739,592663
2021,J.T. Realmuto,PHI,,4.63633263,37.09066104,J.T. Realmuto,11739,592663
2016,Nelson Cruz,SEA,,4.635937121,37.08749697,Nelson Cruz,2434,443558
2023,Nico Hoerner,CHC,,4.628437427,37.02749941,Nico Hoerner,21479,663538
2023,Xander Bogaerts,SDP,,4.621823609,36.97458887,Xander Bogaerts,12161,593428
2018,Paul Goldschmidt,ARI,,4.621708066,36.97366453,Paul Goldschmidt,9218,502671
